Hour Start,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,44.666666666666664,47.0,3.0,2.3333333333333335,0.0,0.0,2.6666666666666665,109.66666666666667,48.0,64.66666666666667,71.33333333333333,37.0
1,44.333333333333336,47.0,3.0,2.3333333333333335,0.0,0.0,2.3333333333333335,110.0,47.666666666666664,64.66666666666667,71.66666666666667,28.333333333333332
2,44.333333333333336,47.333333333333336,3.0,3.3333333333333335,0.0,0.0,3.0,110.0,48.0,65.0,71.66666666666667,28.666666666666668
3,44.333333333333336,47.333333333333336,3.0,3.6666666666666665,0.0,0.0,3.3333333333333335,110.66666666666667,47.666666666666664,65.0,71.66666666666667,28.666666666666668
4,44.333333333333336,47.333333333333336,3.0,3.0,26.0,38.666666666666664,16.666666666666668,110.66666666666667,47.666666666666664,65.0,71.66666666666667,23.333333333333332
5,44.333333333333336,47.333333333333336,19.333333333333332,272.3333333333333,622.3333333333334,674.0,445.6666666666667,250.66666666666666,106.66666666666667,69.0,71.66666666666667,23.0
6,45.333333333333336,108.0,567.3333333333334,1211.3333333333333,1544.0,1559.6666666666667,1271.6666666666667,1052.3333333333333,826.0,548.6666666666666,171.66666666666666,26.0
7,434.0,986.6666666666666,1533.3333333333333,1808.6666666666667,1880.0,1828.3333333333333,1685.0,1687.0,1619.3333333333333,1509.0,1028.6666666666667,458.0
8,1232.6666666666667,1675.0,1873.6666666666667,1889.6666666666667,1937.3333333333333,1904.0,1805.0,1855.6666666666667,1878.0,1846.3333333333333,1737.0,1282.6666666666667
9,1455.6666666666667,1809.6666666666667,1914.3333333333333,1913.3333333333333,1954.6666666666667,1928.0,1845.0,1884.3333333333333,1884.6666666666667,1854.3333333333333,1783.0,1494.0
10,1388.3333333333333,1816.0,1924.0,1935.6666666666667,1964.3333333333333,1952.3333333333333,1860.6666666666667,1874.3333333333333,1872.6666666666667,1786.3333333333333,1693.6666666666667,1413.3333333333333
11,1318.3333333333333,1749.3333333333333,1903.3333333333333,1945.0,1965.0,1943.6666666666667,1878.0,1880.0,1874.3333333333333,1758.6666666666667,1635.3333333333333,1349.0
12,1324.0,1758.0,1897.0,1950.6666666666667,1965.6666666666667,1929.0,1882.6666666666667,1864.3333333333333,1859.3333333333333,1786.0,1686.0,1384.6666666666667
13,1364.0,1799.0,1917.6666666666667,1949.3333333333333,1953.3333333333333,1915.6666666666667,1886.6666666666667,1869.6666666666667,1867.3333333333333,1839.6666666666667,1773.3333333333333,1505.0
14,1416.6666666666667,1802.3333333333333,1918.0,1936.6666666666667,1942.6666666666667,1883.0,1876.6666666666667,1851.6666666666667,1869.6666666666667,1846.0,1738.6666666666667,1443.0
15,1097.6666666666667,1654.3333333333333,1829.0,1883.0,1901.6666666666667,1832.0,1835.0,1792.3333333333333,1728.3333333333333,1536.0,1026.6666666666667,706.3333333333334
16,263.6666666666667,774.3333333333334,1136.6666666666667,1487.6666666666667,1710.3333333333333,1701.0,1690.3333333333333,1432.6666666666667,1218.3333333333333,616.6666666666666,299.0,78.33333333333333
17,68.0,90.33333333333333,230.66666666666666,587.6666666666666,969.0,1085.3333333333333,1100.6666666666667,700.6666666666666,339.0,89.33333333333333,181.33333333333334,66.66666666666667
18,70.0,77.66666666666667,63.666666666666664,60.333333333333336,156.66666666666666,247.33333333333334,271.3333333333333,188.33333333333334,70.33333333333333,82.33333333333333,75.0,67.0
19,70.33333333333333,69.33333333333333,67.0,45.333333333333336,27.0,28.333333333333332,48.333333333333336,133.33333333333334,69.66666666666667,81.66666666666667,75.0,66.0
20,70.0,69.0,66.33333333333333,44.666666666666664,28.0,25.333333333333332,25.666666666666668,109.0,65.0,78.33333333333333,75.33333333333333,46.666666666666664
21,51.666666666666664,58.666666666666664,41.0,5.333333333333333,12.0,25.0,25.333333333333332,129.33333333333334,47.0,72.66666666666667,75.66666666666667,44.666666666666664
22,46.0,47.0,10.333333333333334,2.0,0.3333333333333333,14.333333333333334,12.666666666666666,109.0,47.666666666666664,72.0,75.66666666666667,44.333333333333336
23,46.333333333333336,47.0,3.0,2.3333333333333335,0.0,0.0,3.6666666666666665,109.0,48.0,64.66666666666667,80.33333333333333,44.666666666666664
