Time Bucket (America/New_York),30 Bellevue_1 (kWhs),30 Bellevue_2 (kWhs),Tesla Charger (kWhs),Heat Pump Attic (kWhs),Heat Pump Basement (kWhs),Oven (kWhs)
10/01/2022 00:00:00,31.0116,28.8430,14.7265,7.5612,4.6579,0.1319
10/02/2022 00:00:00,28.1840,28.8889,15.1460,7.7956,0.5298,0.1426
10/03/2022 00:00:00,29.1082,30.5113,6.9214,17.1864,2.8895,0.6958
10/04/2022 00:00:00,29.9381,31.3080,13.5879,12.1630,5.0818,0.1348
10/05/2022 00:00:00,33.4832,32.3940,19.6906,8.6789,2.6962,0.1308
10/06/2022 00:00:00,21.2960,22.4209,12.3851,0.1050,0.0332,1.5489
10/07/2022 00:00:00,18.2296,16.8452,0.3687,0.1320,0.0333,0.1057
10/08/2022 00:00:00,20.2575,21.8502,7.8832,4.1203,0.2009,2.7915
10/09/2022 00:00:00,28.8179,27.2550,0.0285,20.5075,2.6189,0.1324
10/10/2022 00:00:00,39.4055,40.5971,31.9278,14.3106,2.7850,0.1543
10/11/2022 00:00:00,29.2810,30.0449,8.4750,13.9479,4.9415,0.1284
10/12/2022 00:00:00,24.4890,27.1457,9.5786,9.0818,2.9905,0.1270
10/13/2022 00:00:00,16.4245,17.2377,0.0021,0.9064,0.4447,0.1088
10/14/2022 00:00:00,26.8390,25.6094,15.3680,0.0975,0.0432,0.1319
10/15/2022 00:00:00,29.2010,27.9261,16.7458,3.5013,0.1339,3.1248
10/16/2022 00:00:00,21.8303,19.9173,3.7072,4.0432,1.0105,1.4822
10/17/2022 00:00:00,33.1848,34.5479,19.5520,10.1945,4.2884,0.1412
10/18/2022 00:00:00,18.2433,19.4305,4.8293,2.9724,0.1085,0.1263
10/19/2022 00:00:00,30.0939,32.0029,0.0013,24.5646,2.5698,2.6158
10/20/2022 00:00:00,33.2196,36.6297,0.0012,28.4803,10.1416,0.1592
10/21/2022 00:00:00,31.6378,31.6674,2.9548,21.9964,2.7413,0.1505
10/22/2022 00:00:00,25.2871,25.2390,0.0009,15.3157,3.0372,0.1265
10/23/2022 00:00:00,24.9254,25.4372,0.0010,14.9441,2.8660,1.5768
10/24/2022 00:00:00,21.7890,20.9173,0.0006,8.1384,3.1891,0.1010
10/25/2022 00:00:00,16.9620,17.6405,3.6024,1.0519,0.0344,0.1070
10/26/2022 00:00:00,16.3541,15.5735,0.0007,0.0824,0.0259,1.3067
10/27/2022 00:00:00,13.7660,15.0312,0.0007,0.2170,0.0824,0.0973
10/28/2022 00:00:00,32.3330,34.7885,0.0023,26.5874,5.8185,0.1600
10/29/2022 00:00:00,29.1067,30.0093,0.0008,23.3781,5.0738,0.1342
10/30/2022 00:00:00,27.0199,28.2139,3.4875,16.8094,2.0098,0.1402
10/31/2022 00:00:00,25.7004,25.4889,0.0013,12.8923,1.9937,4.5965
11/01/2022 00:00:00,18.3451,17.1483,0.0010,2.0404,0.3121,0.0975
11/02/2022 00:00:00,21.5401,20.1174,0.0010,5.2730,0.3653,1.8073
11/03/2022 00:00:00,24.9093,22.0752,0.0009,13.0182,0.2921,0.1245
11/04/2022 00:00:00,26.9264,23.7108,3.9341,10.7028,1.8610,1.2131
11/05/2022 00:00:00,32.7296,30.3071,29.2224,0.0781,0.0358,1.4995
11/06/2022 00:00:00,17.3345,15.2011,0.0004,0.0759,0.0252,1.1204
11/07/2022 00:00:00,18.0554,16.8603,4.8281,0.0734,0.0217,0.1026
11/08/2022 00:00:00,0.7017,0.7796,0.0000,0.0569,0.0342,0.0087
